No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	TS-1010B-B-A	BOOT	SW-SMD_TS-1010B-B-A		TS-1010B-B-A	XKB Connection(中国星坤)	C381061	LCSC
2	1	4.7uF	C3	C0603	4.7uF	CL10A475KO8NNNC	SAMSUNG(三星)	C19666	LCSC
3	1	1uF	C4	C0603	1uF	CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC
4	3	10uF	C5,C22,C23	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
5	2	20pF	C6,C7	C0402	20pF	0402CG200J500NT	FH(风华)	C1554	LCSC
6	1	1uF	C8	C0402	1uF	CL05A105KA5NQNC	SAMSUNG(三星)	C52923	LCSC
7	3	100nF	C12,C21,C24	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
8	1	TPD2EUSB30DRTR-TP	D3	SOT-723-3_L1.2-W0.8-LS1.20-BR		TPD2EUSB30DRTR-TP	TECH PUBLIC(台舟)	C2844720	LCSC
9	2	Mechanical_MountingHole	H1,H2	MountingHole:MountingHole_2.2mm_M2	MountingHole				
10	1	AO3400A	Q3	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		AO3400A	AOS	C20917	LCSC
11	1	22kΩ	R2	R0402	22kΩ	0402WGF2202TCE	UNI-ROYAL(厚声)	C25768	LCSC
12	3	2kΩ	R3,R4,R5	R0402	2kΩ	0402WGF2001TCE	UNI-ROYAL(厚声)	C4109	LCSC
13	4	Connector_TestPoint	TP1,TP2,TP3,TP4	TestPoint:TestPoint_Pad_1.5x1.5mm	TestPoint				
14	1	LED_R	TX	LED0402				C71911	
15	1	CH341F	U2	QFN-28_L4.0-W4.0-P0.40-BL-EP		CH341F	WCH(南京沁恒)	C412870	LCSC
16	1	C9002	U10	CRYSTAL-SMD_4P-L3.2-W2.5-BL		C9002		C9002	LCSC
17	1	M24C02-WMN6TP	U11	SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL		M24C02-WMN6TP	ST(意法半导体)	C7562	LCSC
18	1	AP2112K-3.3TRG1	U12	SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL		AP2112K-3.3TRG1	DIODES(美台)	C51118	LCSC
19	1	Wio-SX1262	U13	WIRELM-SMD_WIO-SX1262		Wio-SX1262		C9900220371	LCSC
20	1	1054440001	USB1	USB-C-SMD_C561769		1054440001	MOLEX	C134082	LCSC
